Time (s),Event type,Data
0.007,Task Created,10
7.132,Task Assigned,Op0: COMM
9.816,Task Assigned,Op0: SYSMON
12.443,Task Assigned,Op5: RESMAN
15.002,Task Created,5
16.001,Task Assigned,Op1: RESMAN
18.956,Task Assigned,Op5: COMM
20.848,Task Assigned,Op1: COMM
22.182,Task Assigned,Op0: COMM
23.922,Task Assigned,Op1: SYSMON
26.100,Task Assigned,Op0: COMM
27.623,Task Assigned,Op3: COMM
29.099,Task Assigned,Op5: SYSMON
30.007,Task Created,5
32.321,Task Assigned,Op5: COMM
35.380,Task Missed,COMM
39.043,Task Assigned,Op5: COMM
42.079,Task Assigned,Op0: TRACK
43.939,Task Assigned,Op3: COMM
46.992,Task Assigned,Op4: COMM
57.060,Task Assigned,Op3: TRACK
57.963,Task Assigned,Op2: RESMAN
60.024,Task Created,20
65.061,Task Assigned,Op0: SYSMON
68.781,Task Assigned,Op4: SYSMON
70.728,Task Assigned,Op4: SYSMON
74.533,Task Assigned,Op0: SYSMON
78.917,Task Assigned,Op3: COMM
83.498,Task Assigned,Op5: TRACK
86.869,Task Assigned,Op1: TRACK
90.032,Task Created,10
91.818,Task Assigned,Op2: RESMAN
96.610,Task Assigned,Op4: COMM
98.896,Task Assigned,Op3: COMM
101.886,Task Assigned,Op0: TRACK
105.326,Task Assigned,Op5: RESMAN
107.111,Task Assigned,Op4: TRACK
112.607,Task Assigned,Op3: SYSMON
116.213,Task Assigned,Op3: SYSMON
119.053,Task Assigned,Op1: COMM
120.002,Task Created,10
123.170,Task Assigned,Op0: COMM
125.151,Task Assigned,Op2: RESMAN
131.694,Task Assigned,Op5: SYSMON
133.626,Task Assigned,Op4: SYSMON
136.372,Task Assigned,Op1: RESMAN
139.042,Task Assigned,Op0: RESMAN
141.031,Task Assigned,Op3: RESMAN
147.621,Task Assigned,Op5: TRACK
148.852,Task Assigned,Op4: TRACK
150.018,Task Created,10
151.503,Task Missed,SYSMON
154.520,Task Assigned,Op2: SYSMON
164.365,Task Assigned,Op0: COMM
168.944,Task Assigned,Op1: SYSMON
170.256,Task Assigned,Op2: SYSMON
171.421,Task Assigned,Op3: SYSMON
173.515,Task Assigned,Op4: COMM
174.960,Task Assigned,Op5: TRACK
180.001,Task Created,15
181.161,Task Assigned,Op3: COMM
187.896,Task Assigned,Op4: COMM
194.289,Task Assigned,Op2: SYSMON
195.915,Task Assigned,Op1: TRACK
198.181,Task Assigned,Op0: TRACK
200.094,Task Assigned,Op2: TRACK
202.165,Task Assigned,Op1: TRACK
204.784,Task Assigned,Op3: TRACK
206.482,Task Assigned,Op4: TRACK
208.605,Task Assigned,Op5: RESMAN
210.019,Task Created,15
212.064,Task Assigned,Op0: RESMAN
214.945,Task Missed,RESMAN
225.472,Task Missed,SYSMON
226.807,Task Assigned,Op5: SYSMON
229.717,Task Assigned,Op4: COMM
231.094,Task Assigned,Op3: COMM
232.930,Task Assigned,Op3: SYSMON
240.024,Task Created,10
241.103,Task Assigned,Op2: RESMAN
241.398,Task Missed,COMM
246.731,Task Assigned,Op4: COMM
249.306,Task Assigned,Op5: SYSMON
252.617,Task Assigned,Op3: SYSMON
256.705,Task Assigned,Op0: TRACK
258.685,Task Assigned,Op1: TRACK
262.419,Task Assigned,Op4: TRACK
263.675,Task Assigned,Op5: TRACK
270.009,Task Created,15
270.642,Task Assigned,Op1: SYSMON
271.593,Task Missed,SYSMON
272.058,Task Missed,SYSMON
272.344,Task Missed,RESMAN
272.535,Task Missed,COMM
272.565,Task Missed,RESMAN
272.574,Task Missed,TRACK
272.637,Task Missed,TRACK
272.701,Task Missed,SYSMON
273.233,Task Assigned,Op1: COMM
273.524,Task Missed,SYSMON
273.909,Task Missed,TRACK
274.144,Task Assigned,Op2: SYSMON
275.021,Task Missed,COMM
276.001,Task Assigned,Op3: SYSMON
276.890,Task Missed,COMM
279.042,Task Assigned,Op2: COMM
281.240,Task Assigned,Op3: SYSMON
